"filename", "language", "JSON", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 27, 0, 2, 29
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\package-lock.json", "JSON", 3355, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3356
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\CharacterList\CharacterList.tsx", "TypeScript JSX", 0, 0, 0, 0, 85, 0, 0, 0, 0, 11, 96
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\CharacterNew\CharacterNew.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 8, 64
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\CharacterView\CharacterView.tsx", "TypeScript JSX", 0, 0, 0, 0, 214, 0, 0, 0, 1, 17, 232
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\Home\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\components\Tabs\AttributeTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 254, 0, 0, 0, 0, 12, 266
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\components\Tabs\InventoryTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 5, 51
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\components\Tabs\MainTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 274, 0, 0, 0, 0, 20, 294
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\components\Tabs\NotesTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 5, 49
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\components\Tabs\SkillsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 387, 0, 0, 0, 0, 27, 414
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\components\Tabs\SpellsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 116, 0, 0, 0, 0, 10, 126
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\context\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 0, 8, 55
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\index.css", "CSS", 0, 0, 0, 0, 0, 14, 0, 0, 0, 6, 20
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\models\Character.ts", "TypeScript", 0, 0, 459, 0, 0, 0, 0, 0, 0, 34, 493
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\tsconfig.app.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\tsconfig.node.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\victo\Desktop\Programação\Projetos\DndSheets\vite.config.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 3430, 7, 465, 1, 1588, 14, 13, 27, 7, 189, 5741